               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.032912,            0.021495,            0.002119,             0.94133,              0.5877,             0.62094,              0.2877,             0.04278,            0.015412,           0.0053074,            0.005248,            0.005248,            0.005248
                  50,            0.030663,             0.01899,           0.0020782,             0.94634,             0.58889,             0.63292,             0.37336,            0.034324,            0.015238,           0.0042848,            0.005149,            0.005149,            0.005149
                  51,            0.030265,            0.022207,           0.0021345,              0.9294,             0.59887,             0.62167,             0.30065,            0.038994,            0.015594,           0.0044849,             0.00505,             0.00505,             0.00505
                  52,            0.030925,            0.021132,           0.0021817,             0.94189,             0.59259,             0.62745,             0.33086,            0.033816,            0.015463,           0.0044056,            0.004951,            0.004951,            0.004951
                  53,            0.031087,            0.022084,           0.0024622,             0.91941,                 0.6,             0.62424,             0.35923,            0.031393,            0.014413,           0.0043776,            0.004852,            0.004852,            0.004852
                  54,            0.032761,             0.02094,           0.0033854,             0.94038,             0.59259,             0.61832,             0.27212,            0.044762,            0.015224,           0.0050843,            0.004753,            0.004753,            0.004753
                  55,            0.030416,            0.021612,           0.0023783,             0.94014,                 0.6,             0.62204,             0.28073,            0.043242,            0.015593,           0.0057288,            0.004654,            0.004654,            0.004654
                  56,            0.029688,             0.02281,           0.0022527,             0.93289,             0.60741,             0.62807,              0.3585,            0.033517,            0.015069,           0.0058767,            0.004555,            0.004555,            0.004555
                  57,            0.029582,            0.020655,           0.0022902,             0.91824,             0.60741,             0.61629,             0.31349,            0.042476,            0.015358,           0.0056227,            0.004456,            0.004456,            0.004456
                  58,            0.030929,            0.021494,            0.002611,             0.90932,             0.60292,             0.61871,             0.36958,            0.033126,            0.014673,           0.0049456,            0.004357,            0.004357,            0.004357
                  59,            0.029627,            0.020274,            0.001888,             0.90945,             0.60432,             0.61189,             0.30599,             0.04312,            0.015487,           0.0049433,            0.004258,            0.004258,            0.004258
                  60,            0.030745,            0.019071,           0.0018744,             0.93498,             0.60207,             0.62245,             0.37538,            0.030852,            0.014115,           0.0050764,            0.004159,            0.004159,            0.004159
                  61,            0.028595,            0.023142,           0.0017717,             0.91519,             0.61481,             0.62207,             0.35879,            0.034608,             0.01395,           0.0050362,             0.00406,             0.00406,             0.00406
                  62,            0.030356,            0.020481,           0.0016895,             0.93266,             0.59537,             0.62419,             0.35453,            0.036259,            0.013493,           0.0047036,            0.003961,            0.003961,            0.003961
                  63,            0.030982,            0.022464,           0.0017148,             0.94496,             0.58409,             0.63183,             0.39892,            0.032014,            0.013301,           0.0051705,            0.003862,            0.003862,            0.003862
                  64,            0.028042,            0.021102,           0.0016603,             0.92637,             0.58148,             0.62455,             0.31736,            0.040272,            0.014184,           0.0055126,            0.003763,            0.003763,            0.003763
                  65,            0.028075,             0.02132,           0.0015704,             0.91156,             0.58639,             0.61996,             0.27343,            0.042906,            0.014701,            0.005154,            0.003664,            0.003664,            0.003664
                  66,            0.028649,             0.02372,           0.0021653,             0.94934,             0.54851,             0.61373,             0.35872,             0.03356,            0.014296,           0.0057894,            0.003565,            0.003565,            0.003565
                  67,            0.029473,            0.022158,           0.0020252,             0.93001,             0.54479,             0.60871,             0.36663,            0.033149,            0.014282,           0.0070021,            0.003466,            0.003466,            0.003466
                  68,            0.028383,            0.020534,           0.0019928,             0.92042,             0.59464,             0.61224,             0.30145,            0.042598,             0.01498,           0.0071788,            0.003367,            0.003367,            0.003367
                  69,            0.026785,            0.020967,           0.0022063,              0.9085,             0.61481,             0.61631,              0.3267,            0.041425,            0.015176,           0.0066292,            0.003268,            0.003268,            0.003268
                  70,            0.027227,            0.020113,           0.0014629,             0.93804,             0.60071,             0.62166,             0.38407,            0.034718,            0.015033,           0.0055817,            0.003169,            0.003169,            0.003169
                  71,            0.026386,            0.020353,            0.001445,             0.92068,             0.58018,             0.61922,             0.35294,            0.035623,            0.014865,           0.0068914,             0.00307,             0.00307,             0.00307
                  72,             0.02666,            0.021108,           0.0016165,             0.92868,              0.5522,             0.60896,             0.34874,             0.03607,            0.015478,           0.0082554,            0.002971,            0.002971,            0.002971
                  73,            0.025501,            0.020094,           0.0020611,             0.90863,             0.57334,             0.61331,             0.36085,            0.032834,             0.01549,           0.0060123,            0.002872,            0.002872,            0.002872
                  74,             0.02579,            0.020904,           0.0013298,             0.91704,             0.58889,             0.61682,             0.30845,            0.040597,            0.015987,           0.0052628,            0.002773,            0.002773,            0.002773
                  75,            0.025276,            0.018172,           0.0013673,             0.94512,             0.59669,             0.62138,             0.36068,              0.0346,             0.01463,           0.0046689,            0.002674,            0.002674,            0.002674
                  76,            0.025239,            0.019411,           0.0012118,             0.93882,             0.61422,             0.62068,             0.34889,            0.037815,            0.014454,           0.0051539,            0.002575,            0.002575,            0.002575
                  77,            0.025462,            0.020755,           0.0018522,              0.9132,             0.60177,             0.61618,             0.34646,            0.037632,            0.014956,           0.0055056,            0.002476,            0.002476,            0.002476
                  78,            0.025039,            0.019607,           0.0017287,             0.89501,             0.60965,             0.61648,             0.34627,            0.035456,             0.01537,           0.0062431,            0.002377,            0.002377,            0.002377
                  79,            0.023778,            0.017016,           0.0013387,             0.91289,             0.61481,             0.61765,             0.29795,            0.040519,            0.016287,           0.0064134,            0.002278,            0.002278,            0.002278
                  80,            0.024844,            0.019759,           0.0016789,             0.93071,             0.60741,             0.61792,              0.3188,             0.03802,            0.015941,           0.0061407,            0.002179,            0.002179,            0.002179
                  81,             0.02414,            0.020334,           0.0013498,             0.90123,             0.58148,             0.60883,             0.33181,            0.036688,            0.015626,           0.0065965,             0.00208,             0.00208,             0.00208
                  82,            0.024501,            0.020361,           0.0019505,              0.8806,             0.58449,             0.60269,             0.33127,            0.037909,            0.015482,           0.0079298,            0.001981,            0.001981,            0.001981
                  83,            0.025364,            0.018688,           0.0016116,              0.8896,             0.57778,             0.60246,             0.33447,            0.037693,            0.015436,           0.0091935,            0.001882,            0.001882,            0.001882
                  84,            0.024037,            0.018293,           0.0011755,              0.8922,             0.57187,             0.60237,             0.35174,            0.035236,            0.015333,           0.0093755,            0.001783,            0.001783,            0.001783
                  85,            0.023867,            0.018077,           0.0013726,             0.89936,             0.56885,             0.60799,             0.36099,            0.035319,            0.015446,           0.0074777,            0.001684,            0.001684,            0.001684
                  86,            0.024667,            0.018897,            0.001562,             0.90655,             0.56339,             0.60704,             0.36261,            0.034814,            0.015256,           0.0070617,            0.001585,            0.001585,            0.001585
                  87,            0.023577,            0.020025,           0.0013506,             0.87987,             0.57037,             0.60196,             0.34542,            0.036871,            0.015424,           0.0078609,            0.001486,            0.001486,            0.001486
                  88,             0.02395,            0.019986,           0.0035848,             0.89287,             0.56352,             0.59897,             0.33727,            0.036413,            0.015532,           0.0095334,            0.001387,            0.001387,            0.001387
                  89,            0.023109,            0.018798,           0.0011744,             0.89488,             0.57037,             0.60355,              0.3629,            0.033858,            0.015319,           0.0094529,            0.001288,            0.001288,            0.001288
                  90,            0.023716,            0.018492,           0.0012058,             0.92076,             0.56453,             0.60869,             0.34423,            0.036531,            0.015603,           0.0076921,            0.001189,            0.001189,            0.001189
                  91,            0.021752,            0.016237,            0.001052,              0.9287,             0.56296,             0.61077,              0.3557,            0.034629,            0.015226,           0.0064846,             0.00109,             0.00109,             0.00109
                  92,            0.023448,            0.019163,           0.0015493,             0.91429,             0.56296,             0.60493,             0.34117,            0.036179,            0.015439,           0.0080018,            0.000991,            0.000991,            0.000991
                  93,            0.022609,            0.018733,            0.001413,             0.91349,             0.57037,             0.60589,             0.33649,            0.037321,            0.015493,            0.007959,            0.000892,            0.000892,            0.000892
                  94,            0.022376,            0.018663,           0.0015997,              0.9082,             0.57037,             0.61025,             0.35375,            0.036131,            0.015283,           0.0077969,            0.000793,            0.000793,            0.000793
                  95,            0.021356,            0.017728,           0.0012337,             0.90179,             0.57527,             0.60813,             0.34417,             0.03657,            0.015484,           0.0081319,            0.000694,            0.000694,            0.000694
                  96,            0.023497,            0.017833,           0.0015016,             0.90151,             0.57778,             0.60806,             0.32479,            0.038753,             0.01579,           0.0083156,            0.000595,            0.000595,            0.000595
                  97,             0.02287,            0.019319,           0.0012295,             0.93049,             0.57445,             0.60892,             0.34262,             0.03661,            0.015579,           0.0084755,            0.000496,            0.000496,            0.000496
                  98,            0.021473,            0.017649,          0.00098024,             0.92709,             0.57572,             0.60738,              0.3282,            0.038074,            0.016009,           0.0082682,            0.000397,            0.000397,            0.000397
                  99,            0.021929,            0.019499,           0.0010341,             0.92486,             0.57037,             0.60804,             0.33984,            0.037167,            0.016039,           0.0081075,            0.000298,            0.000298,            0.000298
